"","patch","area_m2","longitude","latitude"
"588",960,1,658458.481442078,5212217.73627017
"589",962,1,658070.453022338,5212216.73628558
"590",963,1,658455.481222338,5212216.73628558
"591",964,3,658855.843878788,5212216.0696292
"592",969,2,658854.010411169,5212212.73634726
"593",970,1,659424.552198442,5212212.73634726
"594",974,2,659422.052015325,5212210.73637809
"595",975,134,658446.032769125,5212197.16196051
"596",976,18,658692.109664444,5212206.29200217
"597",977,1,659456.554542338,5212208.73640892
"598",979,64,657647.875197151,5212200.8771551
"599",980,90,658052.90729282,5212204.08092514
"600",981,3230,658566.851608362,5212171.22893768
"601",984,89,658610.998230597,5212202.99492441
"602",986,2346,658675.508420128,5212154.49768847
"603",987,5,658644.095036675,5212205.93645209
"604",988,1,659421.551978701,5212206.73643976
"605",989,2266,659531.655806318,5212185.88636405
"606",994,2,658709.499827013,5212205.23646289
"607",996,1,659359.547437403,5212205.73645518
"608",997,5,659364.747818286,5212205.13646443
"609",998,1,659368.548096623,5212205.73645518
"610",999,1,659388.549561559,5212205.73645518
"611",1006,1,659359.547437403,5212203.73648601
"612",1007,17,659375.607437188,5212202.67767881
"613",1008,1,659405.550806753,5212203.73648601
"614",1010,1,659012.522020779,5212202.73650143
"615",1012,302,658709.307759966,5212191.64395722
"616",1013,33,659322.150759024,5212199.82745537
"617",1014,436,659340.640089299,5212189.59220867
"618",1016,7,659234.538281558,5212199.73654768
"619",1020,5,659366.747964779,5212199.73654768
"620",1021,2,659380.048938961,5212200.73653227
"621",1022,14,658934.516307532,5212195.59375441
"622",1027,1,659391.549781299,5212198.7365631
"623",1029,315,658970.718959065,5212189.09861646
"624",1032,41,659383.036962686,5212195.51710054
"625",1034,6,658457.481368831,5212196.23660164
"626",1035,30,659479.956256312,5212193.9366371
"627",1040,211,658904.713176842,5212187.25806709
"628",1041,5,658509.685192312,5212193.13664944
"629",1042,10,659407.550953247,5212192.23666331
"630",1044,2,659249.039343636,5212191.73667102
